"scenario","month_start","mean","lci","uci"
"counterfactual",2023-10-07,280.991978453645,201.150841918793,367.758390767904
"counterfactual",2023-11-07,280.341592355737,200.208471468485,366.980618548219
"counterfactual",2023-12-07,281.39545914757,204.068883380139,371.014875228059
"counterfactual",2024-01-07,281.030432919021,202.208028290387,364.744747118854
"counterfactual",2024-02-07,281.673880752143,202.23925342251,369.129641265027
"counterfactual",2024-03-07,281.152471523659,200.921470672707,372.014051482497
"counterfactual",2024-04-07,281.534574158012,201.215053632802,365.743159851757
"counterfactual",2024-05-07,281.962719862919,201.236491438535,369.154801685596
"counterfactual",2024-06-07,282.321859034761,202.208028290387,371.183978346771
"counterfactual",2024-07-07,282.591507983018,202.208028290387,368.843083647347
"to date",2023-10-07,532.238128636131,431.431070880847,644.29045901747
"to date",2023-11-07,671.162116975674,561.58347504897,786.15731423109
"to date",2023-12-07,706.465901928194,595.864466797965,831.530047596705
"to date",2024-01-07,696.623566805478,588.977517969362,812.881117857999
"ceasefire",2024-02-07,596.116812302428,488.243313182573,710.393853014223
"ceasefire",2024-03-07,592.443931776148,489.727651822938,703.580813176629
"ceasefire",2024-04-07,590.328240261382,483.960213374416,705.110057604453
"ceasefire",2024-05-07,542.272424226044,438.865969766325,650.446825671057
"ceasefire",2024-06-07,541.430625098124,438.842414638607,658.331804564223
"ceasefire",2024-07-07,540.696804973455,439.324530071384,650.184506805854
"status quo",2024-02-07,717.069517740368,593.687331078973,849.051626128696
"status quo",2024-03-07,712.278248165592,594.827223284479,841.414871584826
"status quo",2024-04-07,705.138473404915,583.942055159671,834.240078058739
"status quo",2024-05-07,700.928760970086,586.064786570522,823.490693536602
"status quo",2024-06-07,696.485352908451,581.407380837007,823.776607899713
"status quo",2024-07-07,691.136295479002,574.811028861954,819.963385151259
"escalation",2024-02-07,755.005154122027,632.94090486471,887.24238213682
"escalation",2024-03-07,747.426903522705,619.192156884649,880.86786331334
"escalation",2024-04-07,739.823516197004,620.142068582034,867.880617358887
"escalation",2024-05-07,734.500009159312,610.579028224637,866.942727193267
"escalation",2024-06-07,729.287919225457,612.54906297767,861.354614202805
"escalation",2024-07-07,722.898015077181,600.863478138977,849.120863561386
