"scenario","disease","subperiod","age","d_base_mean","d_base_median","d_base_lci","d_base_uci","d_crisis_mean","d_crisis_median","d_crisis_lci","d_crisis_uci","d_excess_mean","d_excess_median","d_excess_lci","d_excess_uci"
"ceasefire","Hib disease","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"escalation","Hib disease","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","Hib disease","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"ceasefire","pneumococcal disease","months 1 to 3","0mo",0.0659541760250395,0.0650613133209541,0.0544975016766875,0.0793497121174376,0.3378822022412,0.257590849469789,0.050795678977105,1.1816464373362,0.272053786819388,0.194191247989149,-0.0036294002503367,1.10255491029163
"escalation","pneumococcal disease","months 1 to 3","0mo",0.0659541764123148,0.0650613137029865,0.0544975019966905,0.0793497125833698,0.455649952606719,0.313069114927535,0.0757905461174626,1.45264983686445,0.38999332742333,0.248276299916021,0.0214837444996412,1.37382402862741
"status quo","pneumococcal disease","months 1 to 3","0mo",0.0659541604551579,0.0650612979618517,0.0544974888113968,0.0793496933852557,0.415123027980518,0.317862626064509,0.0644927205638808,1.32713895664353,0.349382887406115,0.252997182751402,0.0101256716473928,1.24818465194444
"ceasefire","RSV","months 1 to 3","0mo",0.143476647035568,0.141534314422745,0.118553809381499,0.172617282543645,0.735028597008873,0.560362870350132,0.110500868068812,2.57055245063113,0.591825529460878,0.422443442164417,-0.00789539359070552,2.39849682363081
"escalation","RSV","months 1 to 3","0mo",0.143476647878046,0.141534315253818,0.118553810077633,0.172617283557233,0.991220440645151,0.681050232257354,0.164874676469307,3.16009296865371,0.848391085406033,0.540100008782218,0.0467357158007266,2.98861538607537
"status quo","RSV","months 1 to 3","0mo",0.143476613164864,0.14153428101057,0.118553781394359,0.172617241793675,0.903058210283528,0.691478031479644,0.140297398320835,2.88705672825334,0.760047175748258,0.550369812471541,0.022027375740385,2.71529961460296
"ceasefire","COVID-19","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"escalation","COVID-19","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","COVID-19","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"ceasefire","Influenza, para-influenza","months 1 to 3","0mo",0.00944412606856912,0.00931627505977015,0.00780361922892183,0.011362262860463,0.0483821087095409,0.0368850102164708,0.00727354695199618,0.169202597852816,0.0389559905831965,0.0278066793939784,-0.000519701944338793,0.157877305090748
"escalation","Influenza, para-influenza","months 1 to 3","0mo",0.00944412612402393,0.00931627511447423,0.00780361927474377,0.0113622629271809,0.0652455364452083,0.0448290672061234,0.0108526179156157,0.208008181129059,0.0558440173475653,0.0355512390201736,0.00307630545490418,0.196720937237711
"status quo","Influenza, para-influenza","months 1 to 3","0mo",0.00944412383908293,0.0093162728604659,0.00780361738671206,0.01136226017816,0.0594423954098941,0.0455154607935664,0.00923485699039063,0.190035997300495,0.0500289175565068,0.0362272327985714,0.00144991758415128,0.178730353713176
"ceasefire","rotavirus","months 1 to 3","0mo",0.00682757797416739,0.00673514880440482,0.00564158275517898,0.00821428421005303,0.110085789554481,0.091934582612698,0.0168603886302652,0.343234792653189,0.103281586808411,0.085220195259844,0.0112279028227114,0.335077696605255
"escalation","rotavirus","months 1 to 3","0mo",0.00682757801425813,0.00673514884395282,0.0056415827883057,0.00821428425828635,0.195260659587578,0.177757477760889,0.0206396300303585,0.41513332494302,0.188491051021999,0.171076787613541,0.0150201355281445,0.407021843689096
"status quo","rotavirus","months 1 to 3","0mo",0.00682757636237285,0.00673514721443014,0.00564158142336376,0.00821428227089708,0.176334062179013,0.166442510851586,0.0191988044958194,0.392268494359921,0.169550859871816,0.159749886691048,0.0135728125447128,0.384137607873717
"ceasefire","other viral gastroenteritis","months 1 to 3","0mo",0.0136551559483348,0.0134702976088096,0.011283165510358,0.0164285684201061,0.220171579108962,0.183869165225396,0.0337207772605303,0.686469585306377,0.206563173616822,0.170440390519688,0.0224558056454228,0.67015539321051
"escalation","other viral gastroenteritis","months 1 to 3","0mo",0.0136551560285163,0.0134702976879056,0.0112831655766114,0.0164285685165727,0.390521319175155,0.355514955521777,0.0412792600607171,0.83026664988604,0.376982102043997,0.342153575227081,0.0300402710562889,0.814043687378192
"status quo","other viral gastroenteritis","months 1 to 3","0mo",0.0136551527247457,0.0134702944288603,0.0112831628467275,0.0164285645417942,0.352668124358026,0.332885021703173,0.0383976089916387,0.784536988719841,0.339101719743631,0.319499773382096,0.0271456250894255,0.768275215747434
"ceasefire","bacterial gastroenteritis","months 1 to 3","0mo",0.0136551559483348,0.0134702976088096,0.011283165510358,0.0164285684201061,0.220171579108962,0.183869165225396,0.0337207772605303,0.686469585306377,0.206563173616822,0.170440390519688,0.0224558056454228,0.67015539321051
"escalation","bacterial gastroenteritis","months 1 to 3","0mo",0.0136551560285163,0.0134702976879056,0.0112831655766114,0.0164285685165727,0.390521319175155,0.355514955521777,0.0412792600607171,0.83026664988604,0.376982102043997,0.342153575227081,0.0300402710562889,0.814043687378192
"status quo","bacterial gastroenteritis","months 1 to 3","0mo",0.0136551527247457,0.0134702944288603,0.0112831628467275,0.0164285645417942,0.352668124358026,0.332885021703173,0.0383976089916387,0.784536988719841,0.339101719743631,0.319499773382096,0.0271456250894255,0.768275215747434
"ceasefire","Hib disease","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"escalation","Hib disease","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","Hib disease","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"ceasefire","pneumococcal disease","months 4 to 6","0mo",0.0662505230946021,0.0653536485559093,0.0547423713103288,0.0797062483684205,0.244866009013029,0.188308099460426,0.0390349106727298,1.08613674792071,0.178756074988417,0.123084113216354,-0.0156189679326441,1.00673379095568
"escalation","pneumococcal disease","months 4 to 6","0mo",0.0662505232703844,0.0653536487293119,0.0547423714555766,0.0797062485799048,0.556436860002063,0.400534131726841,0.082367370211055,1.53092051331093,0.490644679421831,0.335436407509724,0.0278972689302909,1.45200868986424
"status quo","pneumococcal disease","months 4 to 6","0mo",0.0662505160274897,0.0653536415844688,0.0547423654708204,0.0797062398659516,0.399627217103314,0.357698687523601,0.0624594565333428,1.24569550980923,0.333689768594874,0.290478246179561,0.00790450594108982,1.16656952749441
"ceasefire","RSV","months 4 to 6","0mo",0.0129829717487201,0.012807213184801,0.0107277441291305,0.0156198611335642,0.047985862280641,0.0369023310481465,0.00764958703426683,0.212847869795163,0.0350304414679527,0.0241205275062106,-0.00306081537083299,0.197287444022075
"escalation","RSV","months 4 to 6","0mo",0.0129829717831678,0.0128072132187824,0.0107277441575944,0.0156198611750083,0.109043728198758,0.0784918076674236,0.0161413554265751,0.300011182484856,0.096150576841445,0.0657347474218773,0.00546696746637346,0.284547003085316
"status quo","RSV","months 4 to 6","0mo",0.0129829703637934,0.0128072118186229,0.0107277429847747,0.0156198594673537,0.0783140815697905,0.0700974382955709,0.0122400446326268,0.244116255327777,0.0653924623707186,0.056924393764889,0.00154902893633335,0.228610107677953
"ceasefire","COVID-19","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"escalation","COVID-19","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","COVID-19","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"ceasefire","Influenza, para-influenza","months 4 to 6","0mo",0.000673359980969149,0.000664244288079547,0.000556392921624078,0.000810121873420421,0.00248877991398741,0.00191393414491153,0.000396744742229263,0.0110393244573396,0.00181684885839229,0.00125100772434084,-0.000158748753347427,0.0102322851904267
"escalation","Influenza, para-influenza","months 4 to 6","0mo",0.000673359982755773,0.000664244289841984,0.000556392923100353,0.000810121875569915,0.00565553743517612,0.00407096642741912,0.000837169100666525,0.0155600372579144,0.00498683597601688,0.00340932331439223,0.000283543489146012,0.01475798979546
"status quo","Influenza, para-influenza","months 4 to 6","0mo",0.000673359909140122,0.000664244217222914,0.000556392862272225,0.000810121787002653,0.00406174868867362,0.00363559365530815,0.000634828171885964,0.0126610548203632,0.00339157074895536,0.00295237557656896,8.03401652008456e-05,0.0118568306805841
"ceasefire","rotavirus","months 4 to 6","0mo",0.00685825583032143,0.00676541135533859,0.00566693166586141,0.0082511928517936,0.101240591394205,0.0823654666753826,0.0136287855449525,0.341206201344233,0.0944097513793783,0.0756241333520049,0.0079726395823654,0.333025176581851
"escalation","rotavirus","months 4 to 6","0mo",0.00685825584851842,0.00676541137328924,0.00566693168089746,0.00825119287368647,0.208169877750216,0.186337541274326,0.0233995062222193,0.424339007325113,0.201401539554842,0.179655467016883,0.0177649550802904,0.416245042935444
"status quo","rotavirus","months 4 to 6","0mo",0.00685825509873378,0.0067654106336549,0.00566693106135535,0.00825119197161781,0.168374954987308,0.157366648389694,0.0190288448137106,0.390016171046148,0.161582915495799,0.150664233464626,0.013384659026473,0.381894537826265
"ceasefire","other viral gastroenteritis","months 4 to 6","0mo",0.0137165116606429,0.0135308227106772,0.0113338633317228,0.0165023857035872,0.20248118278841,0.164730933350765,0.0272575710899049,0.682412402688466,0.188819502758757,0.15124826670401,0.0159452791647308,0.666050353163702
"escalation","other viral gastroenteritis","months 4 to 6","0mo",0.0137165116970368,0.0135308227465785,0.0113338633617949,0.0165023857473729,0.416339755500432,0.372675082548652,0.0467990124444385,0.848678014650226,0.402803079109685,0.359310934033766,0.0355299101605807,0.832490085870888
"status quo","other viral gastroenteritis","months 4 to 6","0mo",0.0137165101974676,0.0135308212673098,0.0113338621227107,0.0165023839432356,0.336749909974616,0.314733296779389,0.0380576896274212,0.780032342092295,0.323165830991598,0.301328466929253,0.0267693180529461,0.76378907565253
"ceasefire","bacterial gastroenteritis","months 4 to 6","0mo",0.0137165116606429,0.0135308227106772,0.0113338633317228,0.0165023857035872,0.20248118278841,0.164730933350765,0.0272575710899049,0.682412402688466,0.188819502758757,0.15124826670401,0.0159452791647308,0.666050353163702
"escalation","bacterial gastroenteritis","months 4 to 6","0mo",0.0137165116970368,0.0135308227465785,0.0113338633617949,0.0165023857473729,0.416339755500432,0.372675082548652,0.0467990124444385,0.848678014650226,0.402803079109685,0.359310934033766,0.0355299101605807,0.832490085870888
"status quo","bacterial gastroenteritis","months 4 to 6","0mo",0.0137165101974676,0.0135308212673098,0.0113338621227107,0.0165023839432356,0.336749909974616,0.314733296779389,0.0380576896274212,0.780032342092295,0.323165830991598,0.301328466929253,0.0267693180529461,0.76378907565253
"ceasefire","Hib disease","months 1 to 3","1 to 11mo",0,0,0,0,0,0,0,0,0,0,0,0
"escalation","Hib disease","months 1 to 3","1 to 11mo",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","Hib disease","months 1 to 3","1 to 11mo",0,0,0,0,0,0,0,0,0,0,0,0
"ceasefire","pneumococcal disease","months 1 to 3","1 to 11mo",0.725528780252754,0.715706845878464,0.59949965720591,0.872886348001906,3.71977349767605,2.83583926216266,0.559213889344231,13.0088447159131,2.99471916607202,2.137622339448,-0.0399517853366462,12.1367261970487
"escalation","pneumococcal disease","months 1 to 3","1 to 11mo",0.725528781538928,0.715706847147227,0.599499658268668,0.872886349549307,5.02016220589333,3.44926566896456,0.835028804471976,16.0046934443958,4.29615036445708,2.73500145096704,0.236664040823061,15.1339886768905
"status quo","pneumococcal disease","months 1 to 3","1 to 11mo",0.725528728473978,0.71570679480065,0.599499614421449,0.87288628570667,4.57114902298263,3.50016099961013,0.71016497935381,14.6138603163879,3.84674747839783,2.78552931431775,0.11148485882028,13.742662664703
"ceasefire","RSV","months 1 to 3","1 to 11mo",1.5783145661459,1.55694794015862,1.30415094083233,1.89887606823999,8.09199146049079,6.16908182906337,1.21651332264948,28.2994274833632,6.51470900944983,4.65018144985827,-0.0869110729396506,26.4022217498432
