"scenario","age","gender","period","mean","lci","uci"
"ceasefire","0mo","male","months 1 to 3",1.54654644066445,1.387574435018,1.72460243830577
"escalation","0mo","male","months 1 to 3",5.73499998241446,0,25.1913540351673
"status quo","0mo","male","months 1 to 3",3.56443585436247,0,19.7795558515085
"ceasefire","1 to 11mo","male","months 1 to 3",16.7162331750837,14.9979445774551,18.6407958629753
"escalation","1 to 11mo","male","months 1 to 3",283.629521919419,249.720373403348,323.266040677877
"status quo","1 to 11mo","male","months 1 to 3",221.123000040101,192.240680511774,253.421265399727
"ceasefire","12 to 59mo","male","months 1 to 3",95.3448782575995,85.5442242803316,106.32206392223
"escalation","12 to 59mo","male","months 1 to 3",1625.51013144337,1436.48170534696,1851.71499370104
"status quo","12 to 59mo","male","months 1 to 3",1268.74436607425,1106.09916233876,1450.50598018155
"ceasefire","5 to 9yo","male","months 1 to 3",108.364117650719,97.2251950357331,120.840226074938
"escalation","5 to 9yo","male","months 1 to 3",1865.28769539218,1648.72687705276,2118.72165932108
"status quo","5 to 9yo","male","months 1 to 3",1459.58483333685,1275.45750772176,1665.98429691673
"ceasefire","10 to 14yo","male","months 1 to 3",115.182373187312,103.342591077155,128.443476655857
"escalation","10 to 14yo","male","months 1 to 3",1987.35182610763,1758.4308861034,2258.42687851892
"status quo","10 to 14yo","male","months 1 to 3",1556.06494845791,1358.47431557721,1778.51381826158
"ceasefire","15 to 19yo","male","months 1 to 3",109.75518690315,98.4732740337253,122.391451024617
"escalation","15 to 19yo","male","months 1 to 3",1892.92256030315,1674.69711974829,2151.00608052668
"status quo","15 to 19yo","male","months 1 to 3",1482.13827905647,1294.22234973185,1693.96513676501
"ceasefire","20 to 29yo","male","months 1 to 3",257.877591762908,231.369937743663,287.56739005371
"escalation","20 to 29yo","male","months 1 to 3",4446.07390854803,3932.98918203526,5051.93904983566
"status quo","20 to 29yo","male","months 1 to 3",3481.08838161793,3040.55318224581,3977.79411652378
"ceasefire","30 to 39yo","male","months 1 to 3",205.824811070246,184.667746421362,229.521701839788
"escalation","30 to 39yo","male","months 1 to 3",3537.36304548355,3128.78237942687,4019.24789936865
"status quo","30 to 39yo","male","months 1 to 3",2767.73792888241,2417.59575188217,3159.07393336666
"ceasefire","40 to 49yo","male","months 1 to 3",98.530988649229,88.4028292406009,109.874995541765
"escalation","40 to 49yo","male","months 1 to 3",1673.21854206392,1473.64969460419,1907.70215571216
"status quo","40 to 49yo","male","months 1 to 3",1305.48795350882,1135.53860887298,1493.73268663925
"ceasefire","50 to 59yo","male","months 1 to 3",71.0777272883222,63.7715329402484,79.2610028173536
"escalation","50 to 59yo","male","months 1 to 3",1170.47969630516,1012.76437435861,1346.50155924591
"status quo","50 to 59yo","male","months 1 to 3",905.731786653586,774.544394256518,1050.49118630891
"ceasefire","60 to 69yo","male","months 1 to 3",46.8882915867501,42.0685683900261,52.2866044447779
"escalation","60 to 69yo","male","months 1 to 3",744.386731271137,623.862743536889,872.718244778342
"status quo","60 to 69yo","male","months 1 to 3",570.457733003614,464.610764095867,679.248333657644
"ceasefire","70 to 79yo","male","months 1 to 3",21.9296056516505,19.6754260797905,24.4543910118029
"escalation","70 to 79yo","male","months 1 to 3",294.750186006562,197.861559326807,391.675966854761
"status quo","70 to 79yo","male","months 1 to 3",214.032196388703,122.167147363195,303.48607531424
"ceasefire","80 to 100yo","male","months 1 to 3",5.65759587187507,5.07604245760924,6.30896258853528
"escalation","80 to 100yo","male","months 1 to 3",22.1003608503266,0,91.255121807226
"status quo","80 to 100yo","male","months 1 to 3",13.8332183486065,0,71.9024352460156
"ceasefire","0mo","female","months 1 to 3",1.391891796598,1.2488169915162,1.55214219447519
"escalation","0mo","female","months 1 to 3",4.66316031233759,0,22.5038540951267
"status quo","0mo","female","months 1 to 3",2.89545714626876,0,17.5782489085169
"ceasefire","1 to 11mo","female","months 1 to 3",15.3232137438267,13.7481158626671,17.0873962077274
"escalation","1 to 11mo","female","months 1 to 3",259.579105352293,228.180419184961,295.779178407488
"status quo","1 to 11mo","female","months 1 to 3",202.281244829191,175.647863112511,231.951348282962
"ceasefire","12 to 59mo","female","months 1 to 3",88.0701878710619,79.0173110641374,98.2098285255664
"escalation","12 to 59mo","female","months 1 to 3",1499.8820942544,1323.70657450397,1709.19448834512
"status quo","12 to 59mo","female","months 1 to 3",1170.33646455686,1019.80514313799,1338.27997645555
"ceasefire","5 to 9yo","female","months 1 to 3",108.828535297793,97.6418744430291,121.358112758117
"escalation","5 to 9yo","female","months 1 to 3",1873.31005370962,1655.82901709239,2127.82464323302
"status quo","5 to 9yo","female","months 1 to 3",1465.86847396668,1280.95609181157,1673.18065958133
"ceasefire","10 to 14yo","female","months 1 to 3",93.1986406703784,83.618601919956,103.928727079067
"escalation","10 to 14yo","female","months 1 to 3",1607.58136525209,1422.22264294267,1826.74343217037
"status quo","10 to 14yo","female","months 1 to 3",1258.60985798739,1099.08002445951,1438.44554072006
"ceasefire","15 to 19yo","female","months 1 to 3",75.698570374669,67.9173921050658,84.4138498604196
