"age","period","gender","deaths_ceasefire","deaths_escalation","deaths_status quo"
"0mo","months 1 to 3","male","2 (1 to 2)","6 (0 to 25)","4 (0 to 20)"
"0mo","months 4 to 6","male","1 (1 to 1)","6 (0 to 25)","4 (0 to 20)"
"0mo","total","male","2 (2 to 3)","11 (0 to 50)","7 (0 to 40)"
"1 to 11mo","months 1 to 3","male","17 (15 to 19)","284 (250 to 323)","221 (192 to 253)"
"1 to 11mo","months 4 to 6","male","10 (9 to 11)","283 (249 to 323)","221 (192 to 253)"
"1 to 11mo","total","male","27 (24 to 30)","567 (499 to 646)","442 (384 to 507)"
"12 to 59mo","months 1 to 3","male","95 (86 to 106)","1,626 (1,436 to 1,852)","1,269 (1,106 to 1,451)"
"12 to 59mo","months 4 to 6","male","57 (51 to 65)","1,624 (1,435 to 1,850)","1,268 (1,105 to 1,449)"
"12 to 59mo","total","male","152 (136 to 171)","3,249 (2,871 to 3,701)","2,537 (2,211 to 2,900)"
"5 to 9yo","months 1 to 3","male","108 (97 to 121)","1,865 (1,649 to 2,119)","1,460 (1,275 to 1,666)"
"5 to 9yo","months 4 to 6","male","65 (57 to 73)","1,863 (1,647 to 2,117)","1,458 (1,274 to 1,665)"
"5 to 9yo","total","male","173 (155 to 194)","3,729 (3,296 to 4,235)","2,918 (2,550 to 3,331)"
"10 to 14yo","months 1 to 3","male","115 (103 to 128)","1,987 (1,758 to 2,258)","1,556 (1,358 to 1,779)"
"10 to 14yo","months 4 to 6","male","69 (61 to 78)","1,985 (1,756 to 2,256)","1,555 (1,357 to 1,777)"
"10 to 14yo","total","male","184 (164 to 206)","3,972 (3,515 to 4,514)","3,111 (2,716 to 3,555)"
"15 to 19yo","months 1 to 3","male","110 (98 to 122)","1,893 (1,675 to 2,151)","1,482 (1,294 to 1,694)"
"15 to 19yo","months 4 to 6","male","66 (58 to 74)","1,890 (1,672 to 2,148)","1,481 (1,293 to 1,692)"
"15 to 19yo","total","male","175 (157 to 197)","3,783 (3,347 to 4,299)","2,963 (2,587 to 3,386)"
"20 to 29yo","months 1 to 3","male","258 (231 to 288)","4,446 (3,933 to 5,052)","3,481 (3,041 to 3,978)"
"20 to 29yo","months 4 to 6","male","154 (137 to 175)","4,439 (3,927 to 5,044)","3,477 (3,037 to 3,973)"
"20 to 29yo","total","male","412 (368 to 462)","8,885 (7,860 to 10,096)","6,958 (6,078 to 7,951)"
"30 to 39yo","months 1 to 3","male","206 (185 to 230)","3,537 (3,129 to 4,019)","2,768 (2,418 to 3,159)"
"30 to 39yo","months 4 to 6","male","123 (109 to 139)","3,532 (3,124 to 4,013)","2,764 (2,415 to 3,155)"
"30 to 39yo","total","male","329 (294 to 369)","7,069 (6,252 to 8,032)","5,532 (4,832 to 6,314)"
"40 to 49yo","months 1 to 3","male","99 (88 to 110)","1,673 (1,474 to 1,908)","1,305 (1,136 to 1,494)"
"40 to 49yo","months 4 to 6","male","59 (52 to 67)","1,670 (1,471 to 1,904)","1,304 (1,134 to 1,492)"
"40 to 49yo","total","male","157 (141 to 177)","3,343 (2,944 to 3,812)","2,609 (2,269 to 2,985)"
"50 to 59yo","months 1 to 3","male","71 (64 to 79)","1,170 (1,013 to 1,347)","906 (775 to 1,050)"
"50 to 59yo","months 4 to 6","male","43 (38 to 48)","1,169 (1,011 to 1,345)","905 (774 to 1,049)"
"50 to 59yo","total","male","114 (101 to 127)","2,339 (2,024 to 2,691)","1,811 (1,548 to 2,100)"
"60 to 69yo","months 1 to 3","male","47 (42 to 52)","744 (624 to 873)","570 (465 to 679)"
"60 to 69yo","months 4 to 6","male","28 (25 to 32)","743 (623 to 871)","570 (464 to 678)"
"60 to 69yo","total","male","75 (67 to 84)","1,488 (1,247 to 1,744)","1,140 (929 to 1,358)"
"70 to 79yo","months 1 to 3","male","22 (20 to 24)","295 (198 to 392)","214 (122 to 303)"
"70 to 79yo","months 4 to 6","male","13 (12 to 15)","295 (198 to 392)","214 (122 to 304)"
"70 to 79yo","total","male","35 (31 to 39)","590 (396 to 783)","428 (244 to 607)"
"80 to 100yo","months 1 to 3","male","6 (5 to 6)","22 (0 to 91)","14 (0 to 72)"
"80 to 100yo","months 4 to 6","male","3 (3 to 4)","22 (0 to 92)","14 (0 to 73)"
"80 to 100yo","total","male","9 (8 to 10)","44 (0 to 183)","28 (0 to 145)"
"0mo","months 1 to 3","female","1 (1 to 2)","5 (0 to 23)","3 (0 to 18)"
"0mo","months 4 to 6","female","1 (1 to 1)","5 (0 to 22)","3 (0 to 18)"
"0mo","total","female","2 (2 to 2)","9 (0 to 45)","6 (0 to 35)"
"1 to 11mo","months 1 to 3","female","15 (14 to 17)","260 (228 to 296)","202 (176 to 232)"
"1 to 11mo","months 4 to 6","female","9 (8 to 10)","259 (228 to 295)","202 (175 to 232)"
"1 to 11mo","total","female","24 (22 to 27)","519 (456 to 591)","404 (351 to 464)"
"12 to 59mo","months 1 to 3","female","88 (79 to 98)","1,500 (1,324 to 1,709)","1,170 (1,020 to 1,338)"
"12 to 59mo","months 4 to 6","female","53 (47 to 60)","1,498 (1,322 to 1,707)","1,169 (1,019 to 1,337)"
"12 to 59mo","total","female","141 (126 to 158)","2,998 (2,646 to 3,416)","2,340 (2,039 to 2,676)"
"5 to 9yo","months 1 to 3","female","109 (98 to 121)","1,873 (1,656 to 2,128)","1,466 (1,281 to 1,673)"
"5 to 9yo","months 4 to 6","female","65 (58 to 74)","1,871 (1,654 to 2,126)","1,465 (1,280 to 1,672)"
"5 to 9yo","total","female","174 (155 to 195)","3,745 (3,310 to 4,253)","2,931 (2,561 to 3,345)"
"10 to 14yo","months 1 to 3","female","93 (84 to 104)","1,608 (1,422 to 1,827)","1,259 (1,099 to 1,438)"
"10 to 14yo","months 4 to 6","female","56 (49 to 63)","1,606 (1,421 to 1,825)","1,257 (1,098 to 1,437)"
"10 to 14yo","total","female","149 (133 to 167)","3,213 (2,843 to 3,651)","2,516 (2,197 to 2,876)"
"15 to 19yo","months 1 to 3","female","76 (68 to 84)","1,304 (1,153 to 1,481)","1,021 (892 to 1,166)"
"15 to 19yo","months 4 to 6","female","45 (40 to 51)","1,302 (1,152 to 1,479)","1,020 (891 to 1,164)"
"15 to 19yo","total","female","121 (108 to 136)","2,606 (2,305 to 2,961)","2,040 (1,784 to 2,330)"
"20 to 29yo","months 1 to 3","female","171 (154 to 191)","2,948 (2,606 to 3,349)","2,307 (2,017 to 2,635)"
"20 to 29yo","months 4 to 6","female","102 (91 to 116)","2,943 (2,602 to 3,344)","2,305 (2,014 to 2,632)"
"20 to 29yo","total","female","274 (244 to 307)","5,891 (5,208 to 6,692)","4,612 (4,031 to 5,266)"
"30 to 39yo","months 1 to 3","female","129 (116 to 144)","2,214 (1,955 to 2,516)","1,731 (1,512 to 1,976)"
"30 to 39yo","months 4 to 6","female","77 (69 to 87)","2,210 (1,951 to 2,512)","1,729 (1,510 to 1,973)"
"30 to 39yo","total","female","207 (184 to 232)","4,424 (3,906 to 5,028)","3,459 (3,022 to 3,949)"
"40 to 49yo","months 1 to 3","female","71 (64 to 79)","1,200 (1,052 to 1,370)","935 (811 to 1,076)"
"40 to 49yo","months 4 to 6","female","43 (38 to 48)","1,198 (1,050 to 1,368)","934 (810 to 1,074)"
"40 to 49yo","total","female","114 (102 to 128)","2,399 (2,102 to 2,738)","1,868 (1,621 to 2,150)"
"50 to 59yo","months 1 to 3","female","57 (51 to 64)","934 (799 to 1,078)","720 (608 to 842)"
"50 to 59yo","months 4 to 6","female","34 (30 to 39)","932 (798 to 1,077)","719 (607 to 841)"
"50 to 59yo","total","female","92 (82 to 103)","1,866 (1,596 to 2,155)","1,439 (1,215 to 1,682)"
"60 to 69yo","months 1 to 3","female","42 (38 to 47)","660 (548 to 778)","504 (406 to 604)"
"60 to 69yo","months 4 to 6","female","25 (22 to 28)","658 (547 to 777)","503 (405 to 604)"
"60 to 69yo","total","female","67 (60 to 75)","1,318 (1,095 to 1,555)","1,007 (811 to 1,208)"
"70 to 79yo","months 1 to 3","female","16 (15 to 18)","200 (109 to 288)","140 (53 to 225)"
"70 to 79yo","months 4 to 6","female","10 (9 to 11)","200 (109 to 288)","140 (53 to 225)"
"70 to 79yo","total","female","26 (23 to 29)","401 (219 to 576)","280 (105 to 451)"
"80 to 100yo","months 1 to 3","female","8 (7 to 9)","42 (0 to 129)","26 (0 to 102)"
"80 to 100yo","months 4 to 6","female","5 (4 to 5)","43 (0 to 131)","27 (0 to 103)"
"80 to 100yo","total","female","13 (11 to 14)","85 (0 to 260)","53 (0 to 206)"
