"date","date_1","total_truck","food_truck"
"07 October 2023","07-Oct-23",0,0
"08 October 2023","08-Oct-23",0,0
"09 October 2023","09-Oct-23",0,0
"10 October 2023","10-Oct-23",0,0
"11 October 2023","11-Oct-23",0,0
"12 October 2023","12-Oct-23",0,0
"13 October 2023","13-Oct-23",0,0
"14 October 2023","14-Oct-23",0,0
"15 October 2023","15-Oct-23",0,0
"16 October 2023","16-Oct-23",0,0
"17 October 2023","17-Oct-23",0,0
"18 October 2023","18-Oct-23",0,0
"19 October 2023","19-Oct-23",0,0
"20 October 2023","20-Oct-23",0,0
"21 October 2023","21-Oct-23",20,10.3999996185303
"22 October 2023","22-Oct-23",14,7.28000020980835
"23 October 2023","23-Oct-23",20,10.3999996185303
"24 October 2023","24-Oct-23",0,0
"25 October 2023","25-Oct-23",8,4.15999984741211
"26 October 2023","26-Oct-23",12,6.23999977111816
"27 October 2023","27-Oct-23",10,5.19999980926514
"28 October 2023","28-Oct-23",0,0
"29 October 2023","29-Oct-23",48,24.9599990844727
"30 October 2023","30-Oct-23",26,13.5200004577637
"31 October 2023","31-Oct-23",59,30.6800003051758
"01 November 2023","01-Nov-23",55,28.6000003814697
"02 November 2023","02-Nov-23",102,53.0400009155273
"03 November 2023","03-Nov-23",47,24.4400005340576
"04 November 2023","04-Nov-23",30,15.6000003814697
"05 November 2023","05-Nov-23",25,13
"06 November 2023","06-Nov-23",93,48.3600006103516
"07 November 2023","07-Nov-23",81,42.1199989318848
"08 November 2023","08-Nov-23",106,55.1199989318848
"09 November 2023","09-Nov-23",29,15.0799999237061
"10 November 2023","10-Nov-23",66,34.3199996948242
"11 November 2023","11-Nov-23",53,27.5599994659424
"12 November 2023","12-Nov-23",28,14.5600004196167
"13 November 2023","13-Nov-23",115,59.7999992370605
"14 November 2023","14-Nov-23",91,47.3199996948242
"15 November 2023","15-Nov-23",0,0
"16 November 2023","16-Nov-23",30,15.6000003814697
"17 November 2023","17-Nov-23",0,0
"18 November 2023","18-Nov-23",30,15.6000003814697
"19 November 2023","19-Nov-23",66,34.3199996948242
"20 November 2023","20-Nov-23",51,26.5200004577637
"21 November 2023","21-Nov-23",79,41.0800018310547
"22 November 2023","22-Nov-23",79,41.0800018310547
"23 November 2023","23-Nov-23",80,41.5999984741211
"24 November 2023","24-Nov-23",200,104
"25 November 2023","25-Nov-23",199,103.480003356934
"26 November 2023","26-Nov-23",201,104.519996643066
"27 November 2023","27-Nov-23",106,55.1199989318848
"28 November 2023","28-Nov-23",300,156
"29 November 2023","29-Nov-23",104,54.0800018310547
"30 November 2023","30-Nov-23",99,51.4799995422363
"01 December 2023","01-Dec-23",0,0
"02 December 2023","02-Dec-23",100,52
"03 December 2023","03-Dec-23",100,52
"04 December 2023","04-Dec-23",100,52
"05 December 2023","05-Dec-23",101,52.5200004577637
"06 December 2023","06-Dec-23",80,41.5999984741211
"07 December 2023","07-Dec-23",69,35.8800010681152
"08 December 2023","08-Dec-23",100,52
"09 December 2023","09-Dec-23",100,52
