"scenario","period","sam.","sam.50%","sam.2.5%","sam.97.5%","gam.","gam.50%","gam.2.5%","gam.97.5%"
"ceasefire","pre-war",0.004072869,0.004072869,0.004072869,0.004072869,0.03261650,0.03261650,0.03261650,0.03261650
"status quo","pre-war",0.004072869,0.004072869,0.004072869,0.004072869,0.03261650,0.03261650,0.03261650,0.03261650
"escalation","pre-war",0.004072869,0.004072869,0.004072869,0.004072869,0.03261650,0.03261650,0.03261650,0.03261650
"ceasefire","to date",0.029622020,0.016962574,0.008061681,0.100798176,0.14758777,0.11335228,0.05818481,0.35109270
"status quo","to date",0.029622020,0.016962574,0.008061681,0.100798176,0.14758777,0.11335228,0.05818481,0.35109270
"escalation","to date",0.029622020,0.016962574,0.008061681,0.100798176,0.14758777,0.11335228,0.05818481,0.35109270
"ceasefire","months 1 to 3",0.028750089,0.014422044,0.005596114,0.106250582,0.13971542,0.10146771,0.04213860,0.36425108
"status quo","months 1 to 3",0.039979608,0.019234835,0.006743609,0.145181736,0.17217998,0.12367744,0.05389636,0.43672906
"escalation","months 1 to 3",0.072588284,0.037684934,0.010316930,0.253945469,0.25264769,0.18942486,0.07753400,0.60159380
"ceasefire","months 4 to 6",0.028353701,0.009760173,0.003202771,0.125605850,0.12803477,0.07596092,0.02142768,0.40196097
"status quo","months 4 to 6",0.065225315,0.022124978,0.005475484,0.268233677,0.22149076,0.14111930,0.04041082,0.61641416
"escalation","months 4 to 6",0.226902849,0.117225250,0.017602774,0.708822603,0.46825607,0.38696497,0.11499678,0.92639511
