"scenario","disease","subperiod","age","d_base_mean","d_base_median","d_base_lci","d_base_uci","d_crisis_mean","d_crisis_median","d_crisis_lci","d_crisis_uci","d_excess_mean","d_excess_median","d_excess_lci","d_excess_uci"
"ceasefire","Hib disease","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"escalation","Hib disease","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","Hib disease","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"ceasefire","pneumococcal disease","months 1 to 3","0mo",0.0659255501885186,0.0655832712688097,0.0532928970158619,0.0813301780906083,0.579923049668674,0.436770327068495,0.0347899333652385,2.00647955026669,0.513997499480155,0.370640188318361,-0.030185197738352,1.9418999280041
"escalation","pneumococcal disease","months 1 to 3","0mo",0.0659166384775151,0.065410228336702,0.0531241801570569,0.0804649634300699,0.938591129247784,0.705008262908516,0.0622689451867795,3.33402124698667,0.872674490770269,0.638101656326572,-0.0059684941365821,3.26939403791776
"status quo","pneumococcal disease","months 1 to 3","0mo",0.0662838355794476,0.0657563142009173,0.0536389828800772,0.0815075470960186,0.772698250722012,0.585488931813262,0.0463788505415128,2.6603953524652,0.706414415142565,0.514766476626856,-0.0161064913346657,2.59465406674606
"ceasefire","RSV","months 1 to 3","0mo",0.143414374420093,0.142669781208403,0.115933313634982,0.176925586195118,1.26156400882809,0.950149722568359,0.0756819854430478,4.36489356046847,1.118149634408,0.80629028640068,-0.0656648482722329,4.2244071162812
"escalation","RSV","months 1 to 3","0mo",0.143394987893095,0.142293343790967,0.115566287152981,0.175043399107936,2.04181018212817,1.53367425371339,0.135459799641024,7.25282640907201,1.89841519423508,1.38812569021893,-0.0129838560373059,7.11223644459495
"status quo","RSV","months 1 to 3","0mo",0.144193788092895,0.14304621862584,0.116686188469854,0.17731143454799,1.68092698393735,1.27367202315,0.100892504009658,5.78742132743499,1.53673319584446,1.11982246650606,-0.0350380447680513,5.64440780175304
"ceasefire","COVID-19","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"escalation","COVID-19","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","COVID-19","months 1 to 3","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"ceasefire","Influenza, para-influenza","months 1 to 3","0mo",0.0094400270709739,0.00939101538645041,0.00763112919166772,0.0116458502153871,0.0830404793331166,0.0625421206123325,0.00498164841743597,0.28731229724605,0.0736004522621427,0.0530727980473577,-0.00432228601775657,0.278064996606939
"escalation","Influenza, para-influenza","months 1 to 3","0mo",0.00943875098313115,0.00936623698173683,0.00760697024707197,0.0115219581918191,0.134398964336867,0.100951710954029,0.00891642961739833,0.477405963799413,0.124960213353736,0.0913712042225047,-0.000854642032734927,0.468151849099005
"status quo","Influenza, para-influenza","months 1 to 3","0mo",0.00949133075793338,0.009415793791164,0.0076806860010949,0.0116712480802185,0.110644391797284,0.0838374704536839,0.00664109140356909,0.38094796440756,0.101153061039351,0.0737105638207275,-0.00230632454007385,0.371534322578336
"ceasefire","rotavirus","months 1 to 3","0mo",0.00682461462684503,0.00678918190439938,0.00551688205015145,0.00841930209780398,0.109632112539281,0.0936940438982047,0.0179947100907333,0.3220017780592,0.102807497912436,0.0870408501873964,0.0112735909201598,0.315361076950788
"escalation","rotavirus","months 1 to 3","0mo",0.00682369208629602,0.00677126849568065,0.00549941647665069,0.00832973505421032,0.193861908075253,0.181357079952984,0.0224686811915367,0.452882381157603,0.187038215988957,0.174207456195406,0.0159337675249163,0.446220628446806
"status quo","rotavirus","months 1 to 3","0mo",0.00686170433959717,0.00680709531311811,0.00555270886758891,0.00843766334174068,0.176245504817351,0.16459234769524,0.0208698883239224,0.437660900192808,0.169383800477753,0.158252225098648,0.013584835703725,0.431458098573102
"ceasefire","other viral gastroenteritis","months 1 to 3","0mo",0.0136492292536901,0.0135783638087988,0.0110337641003029,0.016838604195608,0.219264225078562,0.187388087796409,0.0359894201814666,0.6440035561184,0.205614995824872,0.174081700374793,0.0225471818403196,0.630722153901577
"escalation","other viral gastroenteritis","months 1 to 3","0mo",0.013647384172592,0.0135425369913613,0.0109988329533014,0.0166594701084206,0.387723816150506,0.362714159905968,0.0449373623830734,0.905764762315205,0.374076431977914,0.348414912390811,0.0318675350498327,0.892441256893613
"status quo","other viral gastroenteritis","months 1 to 3","0mo",0.0137234086791943,0.0136141906262362,0.0111054177351778,0.0168753266834814,0.352491009634701,0.32918469539048,0.0417397766478448,0.875321800385616,0.338767600955507,0.316504450197296,0.02716967140745,0.862916197146204
"ceasefire","bacterial gastroenteritis","months 1 to 3","0mo",0.0136492292536901,0.0135783638087988,0.0110337641003029,0.016838604195608,0.219264225078562,0.187388087796409,0.0359894201814666,0.6440035561184,0.205614995824872,0.174081700374793,0.0225471818403196,0.630722153901577
"escalation","bacterial gastroenteritis","months 1 to 3","0mo",0.013647384172592,0.0135425369913613,0.0109988329533014,0.0166594701084206,0.387723816150506,0.362714159905968,0.0449373623830734,0.905764762315205,0.374076431977914,0.348414912390811,0.0318675350498327,0.892441256893613
"status quo","bacterial gastroenteritis","months 1 to 3","0mo",0.0137234086791943,0.0136141906262362,0.0111054177351778,0.0168753266834814,0.352491009634701,0.32918469539048,0.0417397766478448,0.875321800385616,0.338767600955507,0.316504450197296,0.02716967140745,0.862916197146204
"ceasefire","Hib disease","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"escalation","Hib disease","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","Hib disease","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"ceasefire","pneumococcal disease","months 4 to 6","0mo",0.0662201895189701,0.0658763808610725,0.0535310775611842,0.0816936649200635,0.576809416320841,0.434104085746644,0.0346319978168199,2.05556022998045,0.510589226801871,0.366680910239987,-0.029682931884853,1.98891084519552
"escalation","pneumococcal disease","months 4 to 6","0mo",0.0662112379790906,0.0657025645527319,0.0533616066605521,0.0808245833783607,1.08571004603238,0.790163920917304,0.0733911920009552,3.93176034062433,1.01949880805329,0.722390534896223,0.00518528650472949,3.85415418578197
"status quo","pneumococcal disease","months 4 to 6","0mo",0.0665800761853892,0.066050197169413,0.0538787101778653,0.0818718266361126,0.777098345172325,0.591303078904981,0.0498964021966563,2.57729836701795,0.710518268986936,0.525808549772612,-0.0134811389660607,2.51301599711291
"ceasefire","RSV","months 4 to 6","0mo",0.0129770273434977,0.0129096519042718,0.0104903695124488,0.0160093308575402,0.113036094006318,0.0850704389640035,0.00678675772288571,0.402823693263838,0.100059066662821,0.071857665057872,-0.00581689997420758,0.389762557452174
"escalation","RSV","months 4 to 6","0mo",0.0129752731295846,0.0128755894981919,0.0104571586665209,0.0158390188271408,0.212764249948821,0.154846714907872,0.0143823131931003,0.770498571795019,0.199788976819236,0.141565311004535,0.00101614938351193,0.75529026144845
"status quo","RSV","months 4 to 6","0mo",0.0130475535552861,0.0129437143103516,0.0105584943246085,0.016044244823772,0.152286282282524,0.115876385721399,0.00977809004099389,0.505067587756795,0.139238728727238,0.103041564474674,-0.00264186965115746,0.492470310732639
"ceasefire","COVID-19","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"escalation","COVID-19","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","COVID-19","months 4 to 6","0mo",0,0,0,0,0,0,0,0,0,0,0,0
"ceasefire","Influenza, para-influenza","months 4 to 6","0mo",0.000673051675238776,0.000669557257677599,0.00054408152093208,0.000830321665193856,0.00586260091927144,0.0044121662028176,0.000351994222861577,0.0208923934889407,0.00518954924403266,0.00372688756567819,-0.000301692688834357,0.0202149795399775
"escalation","Influenza, para-influenza","months 4 to 6","0mo",0.000672960693183973,0.000667790615836761,0.000542359045137263,0.000821488455989666,0.0110349875259165,0.00803110281848832,0.00074593662571538,0.0399617987069715,0.0103620268327326,0.00734226469631674,5.27024430759358e-05,0.0391730218565137
"status quo","Influenza, para-influenza","months 4 to 6","0mo",0.000676709507170231,0.000671323899518437,0.000547614804613756,0.000832132473080714,0.00789830634498082,0.0060099122446159,0.000507139247573835,0.0261952585172633,0.00722159683781059,0.00534423606833604,-0.000137020193254424,0.0255419025382607
"ceasefire","rotavirus","months 4 to 6","0mo",0.006855115697803,0.00681952461682128,0.00554153850624151,0.00845693026360422,0.0996681009137122,0.0835874354379157,0.0151948472434173,0.310214309079445,0.0928129852159092,0.0767997265833926,0.00854373887253767,0.303609228271318
"escalation","rotavirus","months 4 to 6","0mo",0.00685418903416773,0.00680153114817531,0.0055239948743117,0.00836696292037439,0.20758355783279,0.192554889712789,0.0244854989112074,0.484497934157037,0.200729368798622,0.185392250248966,0.0177088366858325,0.477052925130218
"status quo","rotavirus","months 4 to 6","0mo",0.00689237117463447,0.00683751808546725,0.00557752544353344,0.00847537356896634,0.167884920088479,0.154622826682495,0.0202898966622628,0.426839928974728,0.160992548913845,0.148155682251017,0.0130621017690908,0.419946181299742
"ceasefire","other viral gastroenteritis","months 4 to 6","0mo",0.013710231395606,0.0136390492336426,0.011083077012483,0.0169138605272084,0.199336201827424,0.167174870875831,0.0303896944868345,0.62042861815889,0.185625970431818,0.153599453166785,0.0170874777450753,0.607218456542635
"escalation","other viral gastroenteritis","months 4 to 6","0mo",0.0137083780683355,0.0136030622963506,0.0110479897486234,0.0167339258407488,0.41516711566558,0.385109779425578,0.0489709978224147,0.968995868314074,0.401458737597244,0.370784500497932,0.0354176733716651,0.954105850260437
"status quo","other viral gastroenteritis","months 4 to 6","0mo",0.0137847423492689,0.0136750361709345,0.0111550508870669,0.0169507471379327,0.335769840176958,0.30924565336499,0.0405797933245257,0.853679857949455,0.321985097827689,0.296311364502034,0.0261242035381816,0.839892362599484
"ceasefire","bacterial gastroenteritis","months 4 to 6","0mo",0.013710231395606,0.0136390492336426,0.011083077012483,0.0169138605272084,0.199336201827424,0.167174870875831,0.0303896944868345,0.62042861815889,0.185625970431818,0.153599453166785,0.0170874777450753,0.607218456542635
"escalation","bacterial gastroenteritis","months 4 to 6","0mo",0.0137083780683355,0.0136030622963506,0.0110479897486234,0.0167339258407488,0.41516711566558,0.385109779425578,0.0489709978224147,0.968995868314074,0.401458737597244,0.370784500497932,0.0354176733716651,0.954105850260437
"status quo","bacterial gastroenteritis","months 4 to 6","0mo",0.0137847423492689,0.0136750361709345,0.0111550508870669,0.0169507471379327,0.335769840176958,0.30924565336499,0.0405797933245257,0.853679857949455,0.321985097827689,0.296311364502034,0.0261242035381816,0.839892362599484
"ceasefire","Hib disease","months 1 to 3","1  to  11mo",0,0,0,0,0,0,0,0,0,0,0,0
"escalation","Hib disease","months 1 to 3","1  to  11mo",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","Hib disease","months 1 to 3","1  to  11mo",0,0,0,0,0,0,0,0,0,0,0,0
"ceasefire","pneumococcal disease","months 1 to 3","1  to  11mo",0.725192398984237,0.721427271955403,0.586231039790146,0.894645957306173,6.37925336099391,4.80454877336912,0.382695254957962,22.0716204022538,5.65406096200967,4.07710586499394,-0.332042370508746,21.3612334421119
"escalation","pneumococcal disease","months 1 to 3","1  to  11mo",0.72509436862934,0.719523769918582,0.584375125304245,0.885128447122065,10.3246639692522,7.75521223592878,0.684969114601078,36.6748075587203,9.59956960062283,7.01922804776033,-0.0656544627819446,35.9638971355184
"status quo","pneumococcal disease","months 1 to 3","1  to  11mo",0.729133599951476,0.723330773992225,0.590038043863789,0.896597046893915,8.49981375247754,6.44047902256754,0.510175338547096,29.2648067764894,7.77068015252607,5.66251984297746,-0.17717417688293,28.5416413183834
"ceasefire","RSV","months 1 to 3","1  to  11mo",1.57758280267858,1.56939214919282,1.27528640408353,1.94621190005442,13.8774212337715,10.4518104852094,0.83251486603281,48.0145804377109,12.2998384310929,8.86933192670462,-0.722324633033851,46.46920537154
