"age","scenario","subperiod","base_surv","crisis_surv","excess_surv","base_risk_adj","crisis_risk_adj","excess_risk_adj","base_risk_crude","crisis_risk_crude","excess_risk_crude","base_adj","crisis_adj","excess_adj"
"0mo","ceasefire","months 1 to 3",0.971126125954403,0.961948184124531,0.990783565083118,0.0288738740455974,0.0380518158754694,0.00921643491688218,0.0288751296084017,0.038102671750765,0.00922754214236331,0.999956517500654,0.99866529371934,0.998796296423276
"0mo","ceasefire","months 4 to 6",0.971149319420559,0.961621981984022,0.990423925635221,0.0288506805794408,0.0383780180159778,0.00957607436477947,0.0288512471337395,0.0384416037575452,0.00959035662380568,0.999980362918245,0.998345913402354,0.998510768724622
"0mo","escalation","months 1 to 3",0.971126131668773,0.941937978036965,0.970710785269049,0.0288738683312271,0.0580620219630346,0.0292892147309511,0.0288751237242315,0.0582581607875692,0.0293830370633377,0.999956523372282,0.996633281554324,0.996806921892238
"0mo","escalation","months 4 to 6",0.971149321999733,0.940505230983368,0.969211120894759,0.0288506780002672,0.059494769016632,0.0307888791052411,0.0288512444779643,0.0597786262136591,0.0309273817356947,0.99998036557149,0.99525152692515,0.99552168264235
"0mo","status quo","months 1 to 3",0.971125896214544,0.952539357305425,0.981344732588957,0.0288741037854562,0.0474606426945752,0.0186552674110434,0.028875366174893,0.0475711163273427,0.0186957501524497,0.999956281439717,0.997677716200576,0.997834655412262
"0mo","status quo","months 4 to 6",0.971149215727765,0.951501558582799,0.980252005126768,0.0288507842722345,0.0484984414172006,0.0197479948732323,0.028851353906217,0.0486601268737625,0.0198087729675454,0.999980256247788,0.996677249589149,0.996931758750899
"1 to 11mo","ceasefire","months 1 to 3",0.999955376425452,0.998570078203239,0.998614645915167,4.46235745481527e-05,0.00142992179676071,0.00138535408483254,4.46241930477046e-05,0.0014307211263319,0.00138609693328419,0.99998613981543,0.999441310010404,0.999464071787607
"1 to 11mo","ceasefire","months 4 to 6",0.999979258422405,0.997720682737781,0.997741378677417,2.07415775950182e-05,0.00227931726221864,0.0022586213225827,2.07417183855551e-05,0.00228112109690341,0.00226037937851786,0.999993212204781,0.999209233263757,0.999222229705391
"1 to 11mo","escalation","months 1 to 3",0.999955382309461,0.989326578587238,0.989370732079746,4.46176905386508e-05,0.0106734214127615,0.010629267920254,4.46183088775515e-05,0.0106936640554645,0.0106490457465869,0.999986141588146,0.998107043329774,0.998142760693909
"1 to 11mo","escalation","months 4 to 6",0.999979261078145,0.986448223994226,0.986468684717558,2.07389218549459e-05,0.0135517760057736,0.0135313152824424,2.07390626103358e-05,0.0136029527425873,0.013582213679977,0.999993213030279,0.996237821465521,0.996252569814185
"1 to 11mo","status quo","months 1 to 3",0.999955139865441,0.99183369014348,0.991878349367128,4.4860134559066e-05,0.00816630985651978,0.00812165063287218,4.48607595390044e-05,0.0081775434195758,0.00813252619244905,0.99998606844947,0.99862629123691,0.998662708324632
"1 to 11mo","status quo","months 4 to 6",0.999979151651344,0.989947148863973,0.989967944702299,2.08483486557887e-05,0.0100528511360272,0.0100320552977007,2.08484908630587e-05,0.010079446660216,0.0100584417017652,0.999993179013724,0.997361410295086,0.997376690659754
"10 to 14yo","ceasefire","months 1 to 3",0.999994196514023,0.998790574656341,0.998796551368398,5.80348597689628e-06,0.00120942534365887,0.00120344863160249,5.80349923230202e-06,0.00120983039743549,0.00120384651781703,0.999997715963213,0.999665197884359,0.999669487589443
"10 to 14yo","ceasefire","months 4 to 6",0.999996085011431,0.998488045651463,0.998491990782285,3.91498856933126e-06,0.00151195434853735,0.00150800921771488,3.91499413329612e-06,0.00151260128018409,0.00150865020997356,0.999998578806334,0.999572305236539,0.999575122016725
"10 to 14yo","escalation","months 1 to 3",0.999994197064447,0.985853799515258,0.985859662751951,5.80293555341171e-06,0.014146200484742,0.0141403372480492,5.80294880643085e-06,0.0141615212271777,0.0141555739740624,0.99999771615784,0.998918142889459,0.998923623581701
"10 to 14yo","escalation","months 4 to 6",0.999996085306571,0.984454897674727,0.984458858135421,3.91469342941875e-06,0.015545102325273,0.0155411418645794,3.9146989925401e-06,0.0155797648292112,0.015575741901987,0.999998578914659,0.99777515871913,0.997778594584754
"10 to 14yo","status quo","months 1 to 3",0.999994174384862,0.989021396139978,0.989027407668827,5.82561513751134e-06,0.0109786038600225,0.0109725923311725,5.82562848989928e-06,0.0109872759202156,0.0109811977591851,0.999997707991856,0.999210717901681,0.99921634887184
"10 to 14yo","status quo","months 4 to 6",0.999996073145657,0.987897609561926,0.987901488948968,3.9268543430282e-06,0.012102390438074,0.0120985110510317,3.92685993786594e-06,0.0121230319628499,0.012119105102912,0.999998575238784,0.998297329839671,0.998300695331421
"12 to 59mo","ceasefire","months 1 to 3",0.999953483126841,0.998485769343219,0.998532335979383,4.65168731593746e-05,0.0015142306567808,0.00146766402061671,4.65175761079769e-05,0.00151506925220622,0.00146843945776625,0.9999848885376,0.999446496967586,0.999471931140613
"12 to 59mo","ceasefire","months 4 to 6",0.999978490522736,0.998329144491447,0.998350657051339,2.15094772643143e-05,0.00167085550855306,0.00164934294866059,2.150963400333e-05,0.00167178068958113,0.00165023364946714,0.999992713078445,0.999446589475618,0.999460257759963
