"age","scenario","subperiod","disease","base_mean","base_lci","base_uci","crisis_mean","crisis_lci","crisis_uci","excess_mean","excess_lci","excess_uci","module","male","female","total","base_risk","crisis_risk","excess_risk","base_surv","crisis_surv","excess_surv","base_adj","crisis_adj","excess_adj","base_dr_mean","base_dr_lci","base_dr_uci","crisis_dr_mean","crisis_dr_lci","crisis_dr_uci","excess_dr_mean","excess_dr_lci","excess_dr_uci"
"0mo","ceasefire","months 1 to 3","bacterial dysentery",0,0,0,0.000227574166966316,0,0.00222679538344625,0.000227605546608992,0,0.00222710243078987,"infections - epidemic",2959,2851,5810,0,3.92235800344234e-08,3.92235800344234e-08,1,0.99999996077642,0.99999996077642,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0.000156711915435888,0,0.00153341380735585,0.000156733524056827,0,0.00153362524601776
"0mo","ceasefire","months 1 to 3","ischaemic stroke",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 1 to 3","neonatal",167.504316176963,118.693918667332,236.847500830866,213.147325498194,191.772515980681,377.122552295338,45.873470501336,37.6396097143635,95.2119907295615,"MNH",2959,2851,5810,0.0288316006884682,0.0367370395869191,0.00790543889845094,0.971168399311532,0.963262960413081,0.992094561101549,0.999956517500654,0.99861848077931,0.998756177827767,115.346669535456,81.7348980901782,163.097710149597,146.777317013326,132.058215165258,259.69378823661,31.5893474456621,25.9193537352165,65.564794276066
"0mo","ceasefire","months 1 to 3","ischaemic heart disease",0,0,0,0,0,0,0,0,0,"NCDs",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 1 to 3","typhoid fever",0,0,0,9.76648874202166e-05,0,0.00115634827258144,9.76783541915556e-05,0,0.00115650771860331,"infections - epidemic",2959,2851,5810,0,1.68330464716007e-08,1.68330464716007e-08,1,0.999999983166953,0.999999983166953,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,6.72539057595139e-05,0,0.000796283493521653,6.72631792353192e-05,0,0.000796393291095904
"0mo","ceasefire","months 1 to 3","RSV",0.143408138404651,0.115928272564748,0.176917893028432,1.25982113390176,0.0755774293254983,4.35886337611842,1.11675885510085,-0.0655831728780156,4.21915270504543,"infections - endemic",2959,2851,5810,2.46840575593964e-05,0.000217136662448897,0.000192452604889501,0.999975315942441,0.999782863337551,0.99980754739511,0.999956517500654,0.99861848077931,0.998756177827767,0.0987535815601348,0.0798304213917405,0.121829038246994,0.867536880974631,0.0520440604977468,3.00159652521529,0.769021464939591,-0.0451618247320577,2.90538909023906
"0mo","ceasefire","months 1 to 3","traumatic injury",0,0,0,2.93856645269442,2.63115758211961,3.27619015797232,2.93897164440178,2.63152038597319,3.27664190378278,"injuries",2959,2851,5810,0,0.000506477066269088,0.000506477066269088,1,0.999493522933731,0.999493522933731,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,2.0235529523241,1.81186533605396,2.25604708052843,2.02383197506831,1.81211516971294,2.25635816131669
"0mo","ceasefire","months 1 to 3","pneumococcal disease",0.0659226835808257,0.0532905797075023,0.0813266416511927,0.579121874829036,0.0347418704036079,2.00370756020208,0.513358177993829,-0.0301476527201318,1.93948454981739,"infections - endemic",2959,2851,5810,1.13469105315867e-05,9.981463849719e-05,8.84677279656033e-05,0.999988653089468,0.999900185361503,0.999911532272034,0.999956517500654,0.99861848077931,0.998756177827767,0.0453956182827828,0.0366969104269539,0.0560030778493979,0.398794377609273,0.0239239151321628,1.37979127384487,0.353508240634352,-0.0207602491383264,1.33556608296926
"0mo","ceasefire","months 1 to 3","cholera",0,0,0,2.37435060406004,0,30.2826947677547,2.37467799743045,0,30.286870374124,"infections - epidemic",2959,2851,5810,0,0.000409231558175559,0.000409231558175559,1,0.999590768441824,0.999590768441824,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,1.63502314888702,0,20.8532416700776,1.63524859821136,0,20.8561170723298
"0mo","ceasefire","months 1 to 3","Hib disease",0,0,0,0,0,0,0,0,0,"infections - endemic",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 1 to 3","maternal",0,0,0,0,0,0,0,0,0,"MNH",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 1 to 3","hepatitis E",0,0,0,0.000462827710049825,0,0.0032277026977835,0.000462891528225479,0,0.00322814775777722,"infections - epidemic",2959,2851,5810,0,7.97707401032702e-08,7.97707401032702e-08,1,0.99999992022926,0.99999992022926,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0.000318711995854298,0,0.00222265768988667,0.000318755942268251,0,0.0022229641666939
"0mo","ceasefire","months 1 to 3","rotavirus",0.00682431787554398,0.00551664216233131,0.00841893600550602,0.109480653668603,0.0179698500528722,0.321556926413715,0.102679623667061,0.0112595685778126,0.314968823851017,"infections - endemic",2959,2851,5810,1.17463246589415e-06,1.8869554653921e-05,1.76949221880268e-05,0.999998825367534,0.999981130445346,0.999982305077812,0.999956517500654,0.99861848077931,0.998756177827767,0.00469935555549308,0.00379886509773001,0.00579744003874699,0.0753904679441025,0.0123743817649484,0.221430237586803,0.0707071488631788,0.00775355385161939,0.216893544404746
"0mo","ceasefire","months 1 to 3","COVID-19",0,0,0,0,0,0,0,0,0,"infections - endemic",2959,2851,5810,0,0,0,1,1,1,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0,0,0,0,0,0
"0mo","ceasefire","months 1 to 3","polio - wildtype",0,0,0,0.0778419830298856,0,0.0428647396137104,0.0778527164696481,0,0.0428706501273262,"infections - epidemic",2959,2851,5810,0,1.34164667814114e-05,1.34164667814114e-05,1,0.999986583533219,0.999986583533219,0.999956517500654,0.99861848077931,0.998756177827767,0,0,0,0.0536034754056546,0,0.0295174779241064,0.053610866657161,0,0.0295215480166054
