"scenario","subperiod","age","base_mean","crisis_mean","excess_mean","base_lci","crisis_lci","excess_lci","base_uci","crisis_uci","excess_uci"
"ceasefire","months 1 to 3","0mo",167.757208204921,221.081050236477,53.5474868670855,118.898351527787,194.55473835663,40.1657864564547,237.159485389398,419.659946147721,137.493889178009
"escalation","months 1 to 3","0mo",167.757175004429,337.340347605231,170.170337586826,118.89770502393,282.185301563657,120.039276748075,237.156167797286,749.625518550087,474.180715795712
"status quo","months 1 to 3","0mo",167.7585429935,275.746334055482,108.387103658162,118.899651052862,237.260497313686,76.8903154900989,237.160109794569,585.65213390918,302.529531069215
"ceasefire","months 4 to 6","0mo",167.622454166551,222.976284672831,55.6369920593687,118.789020505611,193.352115129483,39.1519102137507,236.993964007524,485.45766934746,203.531308071011
"escalation","months 4 to 6","0mo",167.622439181552,345.664607986632,178.883387601451,118.788728704147,281.686544951218,119.919283374249,236.992466602256,874.059432472533,599.193026445428
"status quo","months 4 to 6","0mo",167.623056621683,281.775944633936,114.73585021348,118.789607047651,236.926263888646,76.8552118989173,236.994245823727,698.070898901589,415.427456439717
"ceasefire","months 1 to 3","1 to 11mo",2.85193727294699,91.387731952774,88.5393649157322,2.27886285303721,30.3187297721114,27.5193323736607,3.54198398185292,481.471678171754,478.721395872186
"escalation","months 1 to 3","1 to 11mo",2.85156122001571,682.149035911001,679.327142051352,2.27174331266269,477.231299781783,474.263492828683,3.50547350395579,2185.50916476841,2182.88677521351
"status quo","months 1 to 3","1 to 11mo",2.86705605980447,521.917029240036,519.062813597494,2.29346688300403,366.656471057327,363.881859097979,3.54946837778101,1328.1996945216,1325.51074584306
"ceasefire","months 4 to 6","1 to 11mo",1.32561496567521,145.673445545655,144.350747347583,1.04501422078647,17.8673150308222,16.58941723841,1.66901056456208,1688.64072324753,1687.39610656684
"escalation","months 4 to 6","1 to 11mo",1.32544523467144,866.107556304998,864.799891016179,1.04180084697708,475.123664231863,473.728318319535,1.65253172146777,4500.56129746531,4499.20414587533
"status quo","months 4 to 6","1 to 11mo",1.33243881094011,642.487768954632,641.158686131348,1.05160572366572,365.101985032076,363.762709610472,1.67238867216734,3248.98447926771,3247.81542362977
"ceasefire","months 1 to 3","12 to 59mo",12.4356348029346,404.808366861152,392.359428615589,9.96637350592854,170.263043382041,158.044431749015,15.4460043764655,2018.18078061567,2006.17111828464
"escalation","months 1 to 3","12 to 59mo",12.4339916472078,3608.99223243933,3596.69323689125,9.9352647786926,2746.20317668152,2733.34409670109,15.2864723724496,8631.78226312056,8620.32862135908
"status quo","months 1 to 3","12 to 59mo",12.5016960378862,2798.44539541078,2786.02230061884,10.0301855329918,2117.00827142317,2104.97953368418,15.4787072297271,5978.63981222548,5966.91382590106
"ceasefire","months 4 to 6","12 to 59mo",5.75025761393273,446.679828234541,440.928746523128,4.54013150156937,100.338277622818,94.771592803824,7.24081209598314,4490.06698503721,4484.57331753695
"escalation","months 4 to 6","12 to 59mo",5.74951680635112,3996.59537892638,3990.89164026943,4.52610640947728,2737.83340664521,2731.81869484813,7.16888853230969,14085.5403923678,14079.566902837
"status quo","months 4 to 6","12 to 59mo",5.7800409549559,3064.56672315632,3058.84246402343,4.56890076412541,2110.69649691584,2104.86710617056,7.25555616504027,10725.2300944051,10720.0758361393
"ceasefire","months 1 to 3","5 to 9yo",4.07973250822801,370.294932343728,366.190350440245,3.19462271674753,192.329674714805,188.346440869736,5.13956417097943,1971.4276073451,1967.56425172089
"escalation","months 1 to 3","5 to 9yo",4.0792350898613,4109.9995141176,4105.94935435296,3.18520553140261,3272.21881537135,3267.80611419294,5.09127090649734,9296.49369224527,9293.01372915812
"status quo","months 1 to 3","5 to 9yo",4.09973065910422,3189.89262247919,3185.77928452669,3.21393995224343,2547.94187852611,2543.94006892745,5.14946417632242,6452.88485878809,6449.21390355271
"ceasefire","months 4 to 6","5 to 9yo",1.47444258005822,436.383980497807,434.901790741975,1.06664192729463,113.055764960262,111.643654113409,1.96784079948886,4701.65328012003,4700.36391298543
