"age","scenario","subperiod","deaths_base","deaths_crisis","deaths_excess"
"0mo","ceasefire","months 1 to 3","170 (120 to 240)","220 (190 to 420)","50 (40 to 140)"
"0mo","escalation","months 1 to 3","170 (120 to 240)","340 (280 to 750)","170 (120 to 470)"
"0mo","status quo","months 1 to 3","170 (120 to 240)","280 (240 to 590)","110 (80 to 300)"
"0mo","ceasefire","months 4 to 6","170 (120 to 240)","220 (190 to 490)","60 (40 to 200)"
"0mo","escalation","months 4 to 6","170 (120 to 240)","350 (280 to 870)","180 (120 to 600)"
"0mo","status quo","months 4 to 6","170 (120 to 240)","280 (240 to 700)","120 (80 to 420)"
"1 to 11mo","ceasefire","months 1 to 3","0 (0 to 0)","90 (30 to 490)","90 (30 to 480)"
"1 to 11mo","escalation","months 1 to 3","0 (0 to 0)","680 (480 to 2,180)","680 (480 to 2,180)"
"1 to 11mo","status quo","months 1 to 3","0 (0 to 0)","520 (370 to 1,330)","520 (370 to 1,330)"
"1 to 11mo","ceasefire","months 4 to 6","0 (0 to 0)","150 (20 to 1,690)","150 (20 to 1,690)"
"1 to 11mo","escalation","months 4 to 6","0 (0 to 0)","870 (480 to 4,500)","860 (480 to 4,500)"
"1 to 11mo","status quo","months 4 to 6","0 (0 to 0)","640 (370 to 3,250)","640 (370 to 3,250)"
"12 to 59mo","ceasefire","months 1 to 3","10 (10 to 20)","420 (170 to 2,050)","410 (160 to 2,040)"
"12 to 59mo","escalation","months 1 to 3","10 (10 to 20)","3,610 (2,780 to 8,600)","3,590 (2,770 to 8,590)"
"12 to 59mo","status quo","months 1 to 3","10 (10 to 20)","2,800 (2,140 to 6,000)","2,790 (2,130 to 5,990)"
"12 to 59mo","ceasefire","months 4 to 6","10 (0 to 10)","460 (100 to 4,510)","450 (100 to 4,500)"
"12 to 59mo","escalation","months 4 to 6","10 (0 to 10)","3,990 (2,770 to 14,060)","3,990 (2,760 to 14,050)"
"12 to 59mo","status quo","months 4 to 6","10 (0 to 10)","3,070 (2,130 to 10,750)","3,060 (2,130 to 10,740)"
"5 to 9yo","ceasefire","months 1 to 3","0 (0 to 10)","390 (200 to 2,010)","390 (190 to 2,000)"
"5 to 9yo","escalation","months 1 to 3","0 (0 to 10)","4,110 (3,310 to 9,250)","4,100 (3,310 to 9,250)"
"5 to 9yo","status quo","months 1 to 3","0 (0 to 10)","3,200 (2,560 to 6,480)","3,190 (2,560 to 6,470)"
"5 to 9yo","ceasefire","months 4 to 6","0 (0 to 0)","450 (120 to 4,720)","450 (110 to 4,720)"
"5 to 9yo","escalation","months 4 to 6","0 (0 to 0)","4,470 (3,310 to 14,470)","4,470 (3,300 to 14,470)"
"5 to 9yo","status quo","months 4 to 6","0 (0 to 0)","3,490 (2,560 to 11,450)","3,490 (2,560 to 11,450)"
"10 to 14yo","ceasefire","months 1 to 3","0 (0 to 0)","360 (190 to 1,880)","350 (190 to 1,880)"
"10 to 14yo","escalation","months 1 to 3","0 (0 to 0)","3,920 (3,190 to 8,850)","3,910 (3,180 to 8,850)"
"10 to 14yo","status quo","months 1 to 3","0 (0 to 0)","3,050 (2,460 to 6,180)","3,050 (2,460 to 6,180)"
"10 to 14yo","ceasefire","months 4 to 6","0 (0 to 0)","430 (110 to 4,570)","430 (110 to 4,570)"
"10 to 14yo","escalation","months 4 to 6","0 (0 to 0)","4,300 (3,180 to 14,050)","4,300 (3,180 to 14,050)"
"10 to 14yo","status quo","months 4 to 6","0 (0 to 0)","3,360 (2,460 to 11,110)","3,360 (2,460 to 11,110)"
"15 to 19yo","ceasefire","months 1 to 3","0 (0 to 10)","340 (170 to 1,720)","330 (170 to 1,720)"
"15 to 19yo","escalation","months 1 to 3","0 (0 to 10)","3,540 (2,840 to 8,370)","3,530 (2,840 to 8,370)"
"15 to 19yo","status quo","months 1 to 3","0 (0 to 10)","2,750 (2,200 to 5,700)","2,740 (2,190 to 5,700)"
"15 to 19yo","ceasefire","months 4 to 6","0 (0 to 0)","430 (100 to 4,740)","420 (100 to 4,740)"
"15 to 19yo","escalation","months 4 to 6","0 (0 to 0)","3,920 (2,840 to 13,710)","3,920 (2,830 to 13,710)"
"15 to 19yo","status quo","months 4 to 6","0 (0 to 0)","3,050 (2,200 to 10,760)","3,050 (2,190 to 10,760)"
"20 to 29yo","ceasefire","months 1 to 3","10 (10 to 20)","700 (400 to 2,820)","690 (390 to 2,810)"
"20 to 29yo","escalation","months 1 to 3","10 (10 to 20)","7,990 (6,570 to 15,960)","7,970 (6,560 to 15,950)"
"20 to 29yo","status quo","months 1 to 3","10 (10 to 20)","6,210 (5,090 to 10,910)","6,200 (5,070 to 10,900)"
"20 to 29yo","ceasefire","months 4 to 6","10 (10 to 10)","820 (240 to 8,250)","810 (230 to 8,240)"
"20 to 29yo","escalation","months 4 to 6","10 (10 to 10)","8,650 (6,560 to 25,800)","8,640 (6,550 to 25,800)"
"20 to 29yo","status quo","months 4 to 6","10 (10 to 10)","6,730 (5,080 to 20,180)","6,720 (5,070 to 20,180)"
"30 to 39yo","ceasefire","months 1 to 3","30 (20 to 30)","650 (330 to 2,750)","620 (310 to 2,730)"
"30 to 39yo","escalation","months 1 to 3","30 (20 to 30)","6,400 (5,140 to 14,350)","6,370 (5,110 to 14,330)"
"30 to 39yo","status quo","months 1 to 3","30 (20 to 30)","4,970 (3,980 to 9,420)","4,950 (3,950 to 9,400)"
"30 to 39yo","ceasefire","months 4 to 6","20 (20 to 30)","770 (210 to 8,080)","740 (190 to 8,060)"
"30 to 39yo","escalation","months 4 to 6","20 (20 to 30)","6,980 (5,120 to 23,380)","6,960 (5,100 to 23,360)"
"30 to 39yo","status quo","months 4 to 6","20 (20 to 30)","5,420 (3,970 to 18,150)","5,400 (3,940 to 18,130)"
"40 to 49yo","ceasefire","months 1 to 3","60 (50 to 70)","550 (250 to 2,880)","490 (190 to 2,820)"
"40 to 49yo","escalation","months 1 to 3","60 (50 to 70)","3,600 (2,660 to 11,050)","3,540 (2,600 to 11,000)"
"40 to 49yo","status quo","months 1 to 3","60 (50 to 70)","2,800 (2,070 to 7,270)","2,740 (2,010 to 7,220)"
"40 to 49yo","ceasefire","months 4 to 6","60 (40 to 70)","680 (170 to 7,280)","630 (120 to 7,230)"
"40 to 49yo","escalation","months 4 to 6","60 (40 to 70)","4,100 (2,650 to 18,570)","4,040 (2,590 to 18,520)"
"40 to 49yo","status quo","months 4 to 6","60 (40 to 70)","3,190 (2,060 to 14,720)","3,140 (2,000 to 14,670)"
"50 to 59yo","ceasefire","months 1 to 3","130 (110 to 160)","630 (330 to 2,360)","500 (200 to 2,230)"
"50 to 59yo","escalation","months 1 to 3","130 (110 to 160)","2,910 (2,090 to 8,210)","2,780 (1,950 to 8,090)"
"50 to 59yo","status quo","months 1 to 3","130 (110 to 160)","2,300 (1,640 to 5,510)","2,170 (1,510 to 5,390)"
"50 to 59yo","ceasefire","months 4 to 6","120 (100 to 140)","640 (260 to 5,030)","520 (140 to 4,910)"
"50 to 59yo","escalation","months 4 to 6","120 (100 to 140)","3,150 (2,070 to 12,860)","3,030 (1,950 to 12,750)"
"50 to 59yo","status quo","months 4 to 6","120 (100 to 140)","2,470 (1,630 to 10,140)","2,360 (1,510 to 10,030)"
"60 to 69yo","ceasefire","months 1 to 3","180 (150 to 220)","680 (400 to 2,010)","490 (210 to 1,830)"
"60 to 69yo","escalation","months 1 to 3","180 (150 to 220)","2,270 (1,570 to 6,070)","2,090 (1,380 to 5,910)"
