"module","scenario","subperiod","deaths_base","deaths_crisis","deaths_excess"
"infections - endemic","ceasefire","months 1 to 3","130 (110 to 160)","1,160 (70 to 3,980)","1,030 (-50 to 3,870)"
"infections - endemic","escalation","months 1 to 3","130 (100 to 160)","1,870 (130 to 6,510)","1,750 (0 to 6,420)"
"infections - endemic","status quo","months 1 to 3","130 (110 to 160)","1,550 (100 to 5,250)","1,430 (-20 to 5,140)"
"infections - endemic","ceasefire","months 4 to 6","60 (50 to 80)","550 (40 to 1,930)","490 (-20 to 1,880)"
"infections - endemic","escalation","months 4 to 6","60 (50 to 70)","1,030 (70 to 3,600)","980 (10 to 3,550)"
"infections - endemic","status quo","months 4 to 6","60 (50 to 80)","750 (50 to 2,430)","690 (-10 to 2,380)"
"infections - epidemic","ceasefire","months 1 to 3","0 (0 to 0)","1,520 (0 to 16,600)","1,520 (0 to 16,610)"
"infections - epidemic","escalation","months 1 to 3","0 (0 to 0)","3,400 (0 to 52,200)","3,400 (0 to 52,230)"
"infections - epidemic","status quo","months 1 to 3","0 (0 to 0)","2,410 (0 to 30,520)","2,410 (0 to 30,540)"
"infections - epidemic","ceasefire","months 4 to 6","0 (0 to 0)","3,500 (0 to 52,000)","3,500 (0 to 52,020)"
"infections - epidemic","escalation","months 4 to 6","0 (0 to 0)","8,060 (0 to 114,750)","8,060 (0 to 114,800)"
"infections - epidemic","status quo","months 4 to 6","0 (0 to 0)","6,050 (0 to 89,780)","6,050 (0 to 89,820)"
"injuries","ceasefire","months 1 to 3","0 (0 to 0)","2,030 (1,820 to 2,270)","2,030 (1,820 to 2,270)"
"injuries","escalation","months 1 to 3","0 (0 to 0)","34,300 (29,990 to 39,380)","34,300 (30,000 to 39,390)"
"injuries","status quo","months 1 to 3","0 (0 to 0)","26,730 (23,060 to 30,920)","26,740 (23,060 to 30,930)"
"injuries","ceasefire","months 4 to 6","0 (0 to 0)","1,220 (1,080 to 1,380)","1,220 (1,080 to 1,380)"
"injuries","escalation","months 4 to 6","0 (0 to 0)","34,250 (29,950 to 39,330)","34,260 (29,950 to 39,340)"
"injuries","status quo","months 4 to 6","0 (0 to 0)","26,710 (23,030 to 30,890)","26,710 (23,030 to 30,900)"
