"scenario","age","gender","all_mean","all_median","all_lci","all_uci","counted_mean","counted_median","counted_lci","counted_uci","uncounted_mean","uncounted_median","uncounted_lci","uncounted_uci"
"ceasefire","0mo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","0mo","male",6.75412158976099,0,0,39.4609915507081,5.72463269434644,0,0,33.4025713162978,1.02948889541455,0,0,6.09206262019638
"escalation","0mo","male",11.1508974373884,0,0,50.2415454994026,9.47406906669342,0,0,42.7471412291663,1.676828370695,0,0,7.56956358610945
"ceasefire","1 to 11mo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","1 to 11mo","male",443.421086113863,444.39195918927,385.153547320834,507.41203110689,375.904543362045,376.441479058041,328.629411191052,428.896273659985,67.5165427518182,67.9648090426834,56.129294549852,78.5157574469054
"escalation","1 to 11mo","male",570.116180145728,568.37550884134,498.891197055979,641.6939516321,484.235478787844,482.340257685943,421.723742883066,548.413673325631,85.8807013578834,86.0008476153908,77.1667839764685,93.3965996752531
"ceasefire","12 to 59mo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","12 to 59mo","male",2544.03019850894,2548.4790258199,2215.19831993157,2906.16701795054,2156.67153523346,2159.31093341671,1893.37579148808,2456.83867523811,387.358663275481,389.764423501987,321.967889376766,449.328342712425
"escalation","12 to 59mo","male",3266.66147557958,3253.56626048129,2866.24894053875,3669.62647586389,2774.57719261597,2761.29278697913,2422.7777494622,3135.61018425339,492.084282963609,492.49817963126,443.471191076547,534.302856325599
"ceasefire","5 to 9yo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","5 to 9yo","male",2925.89013189405,2926.87998079189,2545.39899980166,3339.60053217917,2480.39469874493,2479.1826629867,2175.26392171842,2823.12424837676,445.495433149123,447.502647384483,369.730780251925,516.476283802412
"escalation","5 to 9yo","male",3747.06203765614,3734.29595239548,3287.67082275124,4212.75989929538,3182.60270506843,3169.67597363756,2778.83729190985,3600.42556892658,564.459332587705,564.626879696719,508.833530841399,612.287785860159
"ceasefire","10 to 14yo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","10 to 14yo","male",3119.05378572206,3119.74900718486,2714.45854106925,3557.50827183347,2644.1488419108,2642.8550302048,2319.70212513402,3007.32839851256,474.904943811265,476.893976980054,394.734987748535,550.179873320908
"escalation","10 to 14yo","male",3991.84221127491,3977.65436489421,3500.52043461247,4483.55032750643,3390.50688359523,3376.20544968895,2958.75631947577,3831.57917007657,601.335327679681,601.439295886135,541.764115136697,651.971157429856
"ceasefire","15 to 19yo","male",0,0,0,0,0,0,0,0,0,0,0,0
"status quo","15 to 19yo","male",2971.39386917304,2972.38349969913,2585.51913382727,3389.35019048469,2518.97136560445,2517.8651556383,2209.51402981639,2865.17649476329,452.422503568587,454.367251014377,376.005104010885,524.173695721401
