"scenario","age","gender","period","mean","lci","uci","deaths"
"ceasefire","0mo","male","months 1 to 3","2","1","2","2 (1 to 2)"
"escalation","0mo","male","months 1 to 3","6","0","25","6 (0 to 25)"
"status quo","0mo","male","months 1 to 3","4","0","20","4 (0 to 20)"
"ceasefire","1 to 11mo","male","months 1 to 3","17","15","19","17 (15 to 19)"
"escalation","1 to 11mo","male","months 1 to 3","284","250","323","284 (250 to 323)"
"status quo","1 to 11mo","male","months 1 to 3","221","192","253","221 (192 to 253)"
"ceasefire","12 to 59mo","male","months 1 to 3","95","86","106","95 (86 to 106)"
"escalation","12 to 59mo","male","months 1 to 3","1,626","1,436","1,852","1,626 (1,436 to 1,852)"
"status quo","12 to 59mo","male","months 1 to 3","1,269","1,106","1,451","1,269 (1,106 to 1,451)"
"ceasefire","5 to 9yo","male","months 1 to 3","108","97","121","108 (97 to 121)"
"escalation","5 to 9yo","male","months 1 to 3","1,865","1,649","2,119","1,865 (1,649 to 2,119)"
"status quo","5 to 9yo","male","months 1 to 3","1,460","1,275","1,666","1,460 (1,275 to 1,666)"
"ceasefire","10 to 14yo","male","months 1 to 3","115","103","128","115 (103 to 128)"
"escalation","10 to 14yo","male","months 1 to 3","1,987","1,758","2,258","1,987 (1,758 to 2,258)"
"status quo","10 to 14yo","male","months 1 to 3","1,556","1,358","1,779","1,556 (1,358 to 1,779)"
"ceasefire","15 to 19yo","male","months 1 to 3","110","98","122","110 (98 to 122)"
"escalation","15 to 19yo","male","months 1 to 3","1,893","1,675","2,151","1,893 (1,675 to 2,151)"
"status quo","15 to 19yo","male","months 1 to 3","1,482","1,294","1,694","1,482 (1,294 to 1,694)"
"ceasefire","20 to 29yo","male","months 1 to 3","258","231","288","258 (231 to 288)"
"escalation","20 to 29yo","male","months 1 to 3","4,446","3,933","5,052","4,446 (3,933 to 5,052)"
"status quo","20 to 29yo","male","months 1 to 3","3,481","3,041","3,978","3,481 (3,041 to 3,978)"
"ceasefire","30 to 39yo","male","months 1 to 3","206","185","230","206 (185 to 230)"
"escalation","30 to 39yo","male","months 1 to 3","3,537","3,129","4,019","3,537 (3,129 to 4,019)"
"status quo","30 to 39yo","male","months 1 to 3","2,768","2,418","3,159","2,768 (2,418 to 3,159)"
"ceasefire","40 to 49yo","male","months 1 to 3","99","88","110","99 (88 to 110)"
"escalation","40 to 49yo","male","months 1 to 3","1,673","1,474","1,908","1,673 (1,474 to 1,908)"
"status quo","40 to 49yo","male","months 1 to 3","1,305","1,136","1,494","1,305 (1,136 to 1,494)"
"ceasefire","50 to 59yo","male","months 1 to 3","71","64","79","71 (64 to 79)"
"escalation","50 to 59yo","male","months 1 to 3","1,170","1,013","1,347","1,170 (1,013 to 1,347)"
"status quo","50 to 59yo","male","months 1 to 3","906","775","1,050","906 (775 to 1,050)"
"ceasefire","60 to 69yo","male","months 1 to 3","47","42","52","47 (42 to 52)"
"escalation","60 to 69yo","male","months 1 to 3","744","624","873","744 (624 to 873)"
"status quo","60 to 69yo","male","months 1 to 3","570","465","679","570 (465 to 679)"
"ceasefire","70 to 79yo","male","months 1 to 3","22","20","24","22 (20 to 24)"
"escalation","70 to 79yo","male","months 1 to 3","295","198","392","295 (198 to 392)"
"status quo","70 to 79yo","male","months 1 to 3","214","122","303","214 (122 to 303)"
"ceasefire","80 to 100yo","male","months 1 to 3","6","5","6","6 (5 to 6)"
"escalation","80 to 100yo","male","months 1 to 3","22","0","91","22 (0 to 91)"
"status quo","80 to 100yo","male","months 1 to 3","14","0","72","14 (0 to 72)"
"ceasefire","0mo","female","months 1 to 3","1","1","2","1 (1 to 2)"
"escalation","0mo","female","months 1 to 3","5","0","23","5 (0 to 23)"
"status quo","0mo","female","months 1 to 3","3","0","18","3 (0 to 18)"
"ceasefire","1 to 11mo","female","months 1 to 3","15","14","17","15 (14 to 17)"
"escalation","1 to 11mo","female","months 1 to 3","260","228","296","260 (228 to 296)"
"status quo","1 to 11mo","female","months 1 to 3","202","176","232","202 (176 to 232)"
"ceasefire","12 to 59mo","female","months 1 to 3","88","79","98","88 (79 to 98)"
"escalation","12 to 59mo","female","months 1 to 3","1,500","1,324","1,709","1,500 (1,324 to 1,709)"
"status quo","12 to 59mo","female","months 1 to 3","1,170","1,020","1,338","1,170 (1,020 to 1,338)"
"ceasefire","5 to 9yo","female","months 1 to 3","109","98","121","109 (98 to 121)"
"escalation","5 to 9yo","female","months 1 to 3","1,873","1,656","2,128","1,873 (1,656 to 2,128)"
"status quo","5 to 9yo","female","months 1 to 3","1,466","1,281","1,673","1,466 (1,281 to 1,673)"
"ceasefire","10 to 14yo","female","months 1 to 3","93","84","104","93 (84 to 104)"
"escalation","10 to 14yo","female","months 1 to 3","1,608","1,422","1,827","1,608 (1,422 to 1,827)"
"status quo","10 to 14yo","female","months 1 to 3","1,259","1,099","1,438","1,259 (1,099 to 1,438)"
